Symbol,LTP,Change,Open,High,low,Qty
MKLB,716.00,8.48,716.00,650.00,650.00,770
SGIC,524.00,7.38,525.00,478.30,478.30,"84,550"
HEI,535.00,7,542.80,485.00,493.00,"158,689"
IGI,474.00,6.52,480.00,436.10,440.00,"221,698"
RBCL,"16,350.00",6.24,"16,350.00","15,400.00","15,697.00","1,592"
BPW,471.60,6.07,471.60,453.40,453.40,30
SALICO,696.90,5.9,696.90,650.00,655.00,"49,848"
STC,"4,505.00",5.78,"4,550.00","4,200.00","4,200.00","10,358"
HEIP,316.00,5.61,316.00,293.30,293.30,"2,794"
NIL,829.00,5.61,836.00,785.00,785.00,"40,439"
